Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals,
2018,67.7725036,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
2019,67.77263365,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
2020,67.77276575,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
2021,67.8724998,0.09973405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
2022,67.8726299,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
2023,67.872762,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
2024,67.9725019,0.0997399,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
2025,67.972632,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
2026,67.972764,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
2027,68.072506,0.099742,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
2028,68.072636,0.00013,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
2029,68.07276805,0.00013205,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
2030,68.172508,0.09973995,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
2031,68.17263805,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
