Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals,
1877,63.0724695,0.0997405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1878,63.072599,0.0001295,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1879,63.0727311,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1880,63.1724652,0.0997341,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1881,63.17259525,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1882,63.17272725,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1883,63.27246975,0.0997425,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1884,63.27259925,0.0001295,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1885,63.27273135,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1886,63.3724718,0.09974045,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1887,63.3726018,0.00013,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1888,63.3727334,0.0001316,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1889,63.4724719,0.0997385,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
